age,work_class,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,fifty_k
47,Private,10th,6,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,45,United-States,<=50K
40,Private,10th,6,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K
30,Private,10th,6,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K
27,Private,10th,6,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,75,United-States,<=50K
38,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,40,Portugal,<=50K
54,Self-emp-not-inc,10th,6,Divorced,Other-service,Not-in-family,Black,Female,10,United-States,<=50K
61,Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,24,United-States,<=50K
29,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Female,25,United-States,<=50K
51,Private,10th,6,Divorced,Craft-repair,Not-in-family,Black,Female,35,United-States,<=50K
45,Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,38,Dominican-Republic,<=50K
59,Private,10th,6,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
40,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
60,Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
66,State-gov,10th,6,Divorced,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
49,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
58,Private,10th,6,Divorced,Transport-moving,Not-in-family,Black,Male,50,United-States,<=50K
34,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Male,60,United-States,<=50K
74,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,1,United-States,<=50K
65,Private,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Female,28,United-States,<=50K
26,Private,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Female,30,United-States,<=50K
40,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K
33,Private,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Female,36,United-States,<=50K
59,Federal-gov,10th,6,Divorced,Other-service,Not-in-family,White,Female,37,United-States,<=50K
48,Private,10th,6,Divorced,Sales,Not-in-family,White,Female,38,United-States,<=50K
60,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
59,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
38,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
33,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
27,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
28,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
19,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
36,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
28,Private,10th,6,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
45,Private,10th,6,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
50,Self-emp-not-inc,10th,6,Divorced,Sales,Not-in-family,White,Female,50,United-States,<=50K
39,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,60,United-States,<=50K
68,Private,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,20,United-States,<=50K
61,Private,10th,6,Divorced,Other-service,Not-in-family,White,Male,24,United-States,<=50K
33,Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,35,England,<=50K
